disease,doctor_specialty
Hyperparathyroidism,General Physician
Preeclampsia,General Physician
Hyperthyroidism (overactive thyroid),General Physician
Hyponatremia,General Physician
Hypoplastic left heart syndrome,Cardiologist
Low blood pressure (hypotension),General Physician
Hypothyroidism (underactive thyroid),General Physician
Inflammatory bowel disease (IBD),General Physician
Irritable bowel syndrome,General Physician
Immune thrombocytopenia (ITP),General Physician
Prediabetes,General Physician
Impetigo,General Physician
Infant jaundice,General Physician
Infectious diseases,General Physician
Infertility,General Physician
Male infertility,General Physician
Pancreatitis,General Physician
Ingrown hair,General Physician
Metabolic syndrome,General Physician
Intermittent explosive disorder,General Physician
Intestinal ischemia,General Physician
Whipple's disease,General Physician
Intussusception,General Physician
Invasive lobular carcinoma,Oncologist
Iritis,General Physician
Jellyfish stings,General Physician
Jock itch,General Physician
Patellar tendinitis,General Physician
Kawasaki disease,General Physician
Keloid scar,General Physician
Keratitis,General Physician
Keratoconus,General Physician
Kidney stones,Nephrologist
Klinefelter syndrome,General Physician
Klippel-Trenaunay syndrome,General Physician
Knee pain,General Physician
Lactose intolerance,General Physician
Left ventricular hypertrophy,General Physician
Legg-Calve-Perthes disease,General Physician
Legionnaires' disease,General Physician
Lichen nitidus,General Physician
Oral lichen planus,General Physician
Lip cancer,Oncologist
Lipoma,General Physician
Listeria infection,Infectious Disease
Liver disease,General Physician
Tetanus,General Physician
Long QT syndrome,General Physician
Low sperm count,General Physician
Lupus,General Physician
Lyme disease,General Physician
Lymphedema,General Physician
Lymphoma,General Physician
Waldenstrom macroglobulinemia,General Physician
Malaria,General Physician
Undifferentiated pleomorphic sarcoma,General Physician
Malignant hyperthermia,General Physician
Malignant peripheral nerve sheath tumors,Oncologist
Marfan syndrome,General Physician
Muscular dystrophy,General Physician
Measles,General Physician
Medication overuse headaches,General Physician
Melanoma,General Physician
Membranous nephropathy,General Physician
Meningioma,General Physician
Meningitis,General Physician
Mental illness,General Physician
Metatarsalgia,General Physician
MRSA infection,Infectious Disease
Mitral valve disease,General Physician
Mitral valve regurgitation,General Physician
Mitral valve stenosis,General Physician
Mixed connective tissue disease,General Physician
Molluscum contagiosum,General Physician
Morning sickness,General Physician
Morphea,General Physician
Morton's neuroma,Neurologist
Multiple sclerosis,General Physician
Myelodysplastic syndromes,General Physician
Myofascial pain syndrome,General Physician
Nearsightedness,General Physician
Naegleria infection,Infectious Disease
Narcissistic personality disorder,General Physician
Nasal and paranasal tumors,Oncologist
Nasal polyps,General Physician
Nephrotic syndrome,General Physician
Postherpetic neuralgia,General Physician
Neuroendocrine tumors,Oncologist
Peripheral nerve tumors,Oncologist
Neurofibromatosis,Neurologist
Peripheral neuropathy,Neurologist
Nonalcoholic fatty liver disease,General Physician
Nonallergic rhinitis,General Physician
Norovirus infection,Infectious Disease
Overactive bladder,General Physician
Obesity,General Physician
Obsessive-compulsive disorder (OCD),General Physician
Pediatric obstructive sleep apnea,General Physician
Oppositional defiant disorder (ODD),General Physician
Ovarian hyperstimulation syndrome,General Physician
Optic neuritis,General Physician
Orchitis,General Physician
